"","age","hive","trial","socM","socS","indM","indS","DA","Ser","OA","TA","Glu"
"1",20,"2","0",0.6784,-0.01684,0.7847,0.05548,6803.18913,2991.819106,956.22114,5307.545318,886695.2309
"2",20,"2","0",0.5781,0.008126,0.8084,-0.03999,5067.512215,2923.526423,594.9603175,5105.465733,855377.9811
"3",20,"2","0",0.839,0.03509,0.4769,0.07976,1625.346538,2884.119162,1054.051227,4207.165194,859363.7944
"4",20,"2","0",0.9126,-0.009496,0.7453,0.03818,9936.697361,3076.589384,1583.463203,4992.444615,862048.1626
"5",20,"2","0",0.8012,0.00863,0.6899,0.06725,3121.699992,2830.815135,895.7377345,5035.533916,855255.9699
"6",20,"2","0",0.7602,0.07394,0.7307,0.03415,7269.035932,3447.037483,4376.630592,5830.213651,856516.8091
"7",23,"2","0",0.7314,0.0445,0.3809,0.1218,8767.910622,3328.815702,2125.627706,5607.214292,866969.4358
"8",23,"2","0",0.5352,0.06683,0.9089,0.01019,18329.89138,3324.150359,15110.24892,5822.008753,875510.4885
"9",23,"2","0",0.6043,-0.005878,0.5625,0.02211,4285.153349,2852.355124,1594.029582,3780.238789,764435.9793
"10",23,"2","0",0.5655,0.08187,0.5162,-0.0009571,11388.34737,2864.365901,3151.477273,4389.955117,820725.6648
"11",23,"2","0",0.5911,0.02717,0.7927,0.05773,2370.230399,2833.197438,311.9264069,940.9092247,869450.3994
"12",24,"1","1",0.7324,0.06712,0.7457,-0.03642,2391.705254,3262.111221,1492.920274,4926.099045,859770.5308
"13",24,"1","1",0.7208,0.05941,0.6347,0.04274,4155.794558,2800.242248,962.9617605,4693.808046,859851.8878
"14",24,"1","1",0.791,0.04068,0.6554,0.01613,5612.293092,2790.514511,733.234127,3965.310869,817146.5273
"15",17,"1","1",0.6609,0.06143,0.6899,0.003113,831.3319392,3086.798231,535.983086,2022.12619,781518.0847
"16",17,"2","1",0.7333,0.06201,0.5727,0.06521,4112.873954,3216.66413,597.7572205,2128.70333,673534.6197
"17",17,"2","1",0.6557,0.05443,0.8686,0.0179,1833.242395,3001.105101,518.385846,2621.50979,866684.7106
"18",17,"2","1",0.8933,0.01541,0.6538,0.03044,709.5188213,3328.575278,529.8244489,2023.274827,865586.5853
"19",17,"2","1",0.4987,0.03397,0.7018,0.02221,7746.103802,3208.196833,523.745802,2131.000605,825565.593
"20",17,"2","1",0.7039,0.08696,0.807,0.03808,9165.728897,3129.134718,554.8220065,2430.425757,784405.797
"21",16,"1","1",0.4974,0.05165,0.9466,0.00546,3078.096388,3182.080831,562.9709348,2525.065273,867986.2041
"22",16,"1","1",0.9466,-0.00546,0.7251,0.02274,2339.805513,3279.607775,522.6711241,1978.477969,860217.9215
"23",16,"1","1",0.8067,-0.0234,0.53,0.06289,3323.965779,3186.671534,1909.822312,2401.586754,810029.0036
"24",16,"1","1",0.4999,-0.05293,0.9064,-0.01955,5762.471293,3388.254422,609.5863101,2386.695491,861682.1047
"25",18,"1","1",0.701,0.09725,0.8661,-0.01643,1421.964639,2863.58803,553.9457776,2602.434205,752275.1228
"26",21,"1","1",0.6437,0.07783,0.8525,0.02076,637.7108365,3259.204648,529.3475606,2170.25939,864691.8282
"27",15,"1","1",0.6905,0.08302,0.8084,0.03322,2568.024525,3087.104278,529.797582,1881.25402,866440.7124
"28",15,"1","1",0.2726,0.09499,0.8356,0.02824,2354.339544,3230.334225,530.4222385,1993.656392,781843.4642
"29",15,"1","0",0.3396,0.05489,0.7814,-0.001971,1917.314259,3305.417729,513.4960615,2252.551053,874331.0062
"30",15,"1","0",0.6515,0.06031,0.8207,0.0259,1651.353992,3264.815508,533.6172681,2279.461986,850416.0295
"31",20,"1","0",0.7769,0.0606,0.4634,0.07322,2198.391445,3077.412793,736.8147402,2193.027023,866440.6881
"32",20,"1","0",0.5998,0.04024,0.6869,0.02899,2231.356084,2984.06849,546.1473408,2041.817117,779809.8791
"33",20,"1","0",0.7607,0.03268,0.9193,0.002887,2555.053232,2955.300082,521.4150943,1895.037668,859567.1626
"34",20,"1","0",0.6221,0.05149,0.7469,0.02528,1233.541825,3021.712258,524.3032912,1953.002833,865749.275
"35",20,"3","0",0.7058,0.0686,1,0,2495.560837,3245.432538,522.5770898,2044.073369,839475.3337
"36",20,"3","0",0.8274,0.01477,1,0,342.5417415,4343.370428,263.9664764,872.5537456,863878.3796
"37",20,"3","0",0.5277,0.01567,1,0,305.5518119,4074.421296,400.3206791,921.0644752,886044.4721
"38",20,"3","0",0.7532,0.06012,0.8006,0.03206,307.4872716,4036.881039,376.1940793,1036.12261,872094.0771
"39",20,"3","0",0.6737,-0.02078,1,0,321.4660078,4252.73752,250.1520523,1009.315353,751990.4218
"40",20,"3","0",0.8554,-0.003342,1,0,315.5089473,4005.239964,250.8654733,1059.461276,868189.5723
"41",20,"3","0",0.7176,0.05248,0.9089,0.01019,333.3791929,3907.501222,248.3648968,1474.057062,877584.7521
